id,date_listed,ortsteil,bezirk,kiez_premium,lat,lon,property_type,rooms,area_m2,floor,total_floors,building_era,energy_class,position,condition,has_lift,has_balcony,furnished,transit_station,transit_line,transit_distance_min,to_brandenburg_gate_km,kaltmiete_eur_monthly,nebenkosten_eur_monthly,warmmiete_eur_monthly,rent_per_m2_kalt_eur,rent_includes_warmmiete,kaution_months,warmmiete_eur_monthly_usd,year,month
R000020,9/2/2024,Wannsee,Steglitz-Zehlendorf,high,52.41626,13.16076,2_room,2,65.8,4,5,altbau_pre_1949,G,hinterhaus,modernisiert,FALSE,FALSE,FALSE,Wannsee,S1,2,18.43,1186,201,1387,18.02,FALSE,3,1498,2024,9
R000021,3/24/2022,Buckow,Neukölln,low,52.43066,13.43439,4_room,4,110.2,0,5,post_war_1949_1990,F,vorderhaus,saniert,TRUE,TRUE,FALSE,Friedrichstraße,Stadtbahn,132,10.27,922,427,1349,8.36,FALSE,3,1457,2022,3
R000022,2/14/2021,Mahlsdorf,Marzahn-Hellersdorf,low,52.49947,13.63713,1_room,1,29.7,0,5,post_war_1949_1990,G,vorderhaus,modernisiert,FALSE,TRUE,FALSE,Heidelberger Platz,S Ringbahn,252,17.66,128,87,215,4.3,FALSE,3,232,2021,2
R000023,4/4/2026,Gesundbrunnen,Mitte,medium,52.54783,13.38298,3_room,3,78.7,2,6,altbau_pre_1949,F,vorderhaus,renoviert,FALSE,TRUE,FALSE,Schönhauser Allee,S Ringbahn,28,3.52,1133,223,1357,14.41,TRUE,3,1465,2026,4
R000024,12/15/2022,Tegel,Reinickendorf,medium,52.56519,13.30616,3_room,3,98.6,1,6,new_post_2010,A,vorderhaus,modernisiert,TRUE,FALSE,FALSE,Zwickauer Damm,U7,273,7.28,1676,382,2058,16.99,FALSE,3,2223,2022,12
R000025,4/22/2025,Charlottenburg,Charlottenburg-Wilmersdorf,high,52.52594,13.33502,3_room,3,111.8,1,3,post_war_1949_1990,F,hinterhaus,modernisiert,FALSE,FALSE,FALSE,Wilmersdorfer Straße,U7,15,3.08,2069,413,2482,18.5,TRUE,3,2680,2025,4
R000026,8/28/2023,Borsigwalde,Reinickendorf,low,52.58625,13.29092,2_room,2,52,2,6,modern_1990_2010,D,vorderhaus,modernisiert,TRUE,FALSE,FALSE,Wittenau U,U8,27,9.74,521,187,708,10.02,FALSE,2,765,2023,8
R000027,10/28/2021,Wedding,Mitte,medium,52.55331,13.3492,2_room,2,79.8,5,5,modern_1990_2010,C,vorderhaus,kernsaniert,TRUE,TRUE,FALSE,Moritzplatz,U8,77,4.54,1125,242,1368,14.1,TRUE,3,1477,2021,10
R000028,2/11/2023,Marienfelde,Tempelhof-Schöneberg,low,52.41419,13.37067,1_room,1,35.2,4,8,post_war_1949_1990,E,seitenflügel,saniert,FALSE,FALSE,TRUE,Berliner Straße,U7,103,11.36,253,146,400,7.19,TRUE,2,432,2023,2
R000029,9/19/2021,Französisch Buchholz,Pankow,medium,52.58381,13.4392,4_room,4,97.8,2,5,altbau_pre_1949,C,hinterhaus,renovierungsbedürftig,FALSE,TRUE,TRUE,Lindauer Allee,U8,75,8.58,996,258,1253,10.18,FALSE,1,1353,2021,9
R000030,9/18/2024,Lichtenberg (Ort),Lichtenberg,medium,52.50971,13.48401,1_room,1,31.9,3,4,post_war_1949_1990,H,seitenflügel,kernsaniert,FALSE,TRUE,FALSE,Frankfurter Allee,S Ringbahn,17,7.23,284,109,393,8.91,FALSE,2,424,2024,9
R000031,11/13/2022,Grunewald,Charlottenburg-Wilmersdorf,high,52.48794,13.2624,2_room,2,59.3,1,4,post_war_1949_1990,E,vorderhaus,modernisiert,TRUE,TRUE,FALSE,Bülowstraße,U2,90,8.42,1473,229,1702,24.85,TRUE,3,1839,2022,11
R000032,5/21/2024,Baumschulenweg,Treptow-Köpenick,medium,52.4637,13.49067,3_room,3,96.4,0,5,post_war_1949_1990,E,seitenflügel,renovierungsbedürftig,FALSE,TRUE,FALSE,Warschauer Straße,U1,60,9.63,817,286,1103,8.48,FALSE,3,1191,2024,5
R000033,7/11/2022,Moabit,Mitte,medium,52.52095,13.3622,1_room,1,31.6,4,4,altbau_pre_1949,F,gartenhaus,saniert,FALSE,TRUE,FALSE,Mierendorffplatz,U7,33,1.17,571,107,678,18.09,FALSE,1,732,2022,7
R000034,10/30/2025,Mitte (Ort),Mitte,high,52.51987,13.40234,5_room_plus,5,127.3,0,6,new_post_2010,A,vorderhaus,modernisiert,TRUE,FALSE,FALSE,Alexanderplatz,U2,10,1.71,5604,442,6047,44.02,FALSE,3,6530,2025,10
R000035,1/15/2020,Konradshöhe,Reinickendorf,medium,52.58559,13.22798,1_room,1,38.5,4,4,post_war_1949_1990,E,seitenflügel,modernisiert,TRUE,FALSE,FALSE,Görlitzer Bahnhof,U1,218,12.72,294,146,440,7.65,FALSE,3,475,2020,1
R000036,3/29/2025,Lankwitz,Steglitz-Zehlendorf,medium,52.44464,13.35412,2_room,2,52.5,0,3,altbau_pre_1949,F,vorderhaus,kernsaniert,FALSE,TRUE,FALSE,Botanischer Garten,S1,32,8.13,921,174,1095,17.55,FALSE,3,1183,2025,3
R000037,4/6/2022,Niederschönhausen,Pankow,medium,52.57232,13.41323,3_room,3,117.3,3,3,post_war_1949_1990,D,hinterhaus,renovierungsbedürftig,FALSE,TRUE,TRUE,Spittelmarkt,U2,84,6.68,901,392,1293,7.68,FALSE,2,1396,2022,4
R000038,1/16/2020,Lichtenrade,Tempelhof-Schöneberg,low,52.40578,13.39543,1_room,1,36.9,5,5,post_war_1949_1990,H,vorderhaus,renovierungsbedürftig,FALSE,TRUE,FALSE,Lipschitzallee,U7,67,12.35,219,113,331,5.93,FALSE,3,358,2020,1
R000039,8/19/2024,Hansaviertel,Mitte,high,52.52038,13.35066,3_room,3,97,1,4,post_war_1949_1990,F,gartenhaus,kernsaniert,FALSE,FALSE,FALSE,Alexanderplatz,U2,57,1.89,1953,354,2307,20.13,FALSE,3,2491,2024,8
R000040,5/1/2020,Gatow,Spandau,medium,52.4787,13.17431,2_room,2,67.4,5,6,post_war_1949_1990,G,gartenhaus,modernisiert,TRUE,FALSE,FALSE,Jakob-Kaiser-Platz,U7,123,14.39,313,182,496,4.65,FALSE,1,535,2020,5
R000041,12/9/2022,Kreuzberg,Friedrichshain-Kreuzberg,high,52.5076,13.4021,1_room,1,31.7,3,5,post_war_1949_1990,E,vorderhaus,modernisiert,TRUE,FALSE,FALSE,Schönleinstraße,U8,22,1.91,702,159,861,22.16,TRUE,3,930,2022,12
R000042,2/3/2021,Hellersdorf,Marzahn-Hellersdorf,low,52.53314,13.61814,2_room,2,62.4,7,8,post_war_1949_1990,F,vorderhaus,saniert,TRUE,FALSE,FALSE,Schlesisches Tor,U1,141,16.37,286,166,452,4.59,FALSE,2,489,2021,2
R000043,7/1/2024,Tegel,Reinickendorf,medium,52.57489,13.29047,3_room,3,79.8,3,3,modern_1990_2010,A,vorderhaus,modernisiert,FALSE,FALSE,FALSE,Pankstraße,U8,97,8.79,1283,205,1487,16.07,FALSE,3,1606,2024,7
R000044,5/23/2024,Alt-Treptow,Treptow-Köpenick,medium,52.48847,13.45123,2_room,2,48.3,2,4,altbau_pre_1949,F,vorderhaus,modernisiert,FALSE,TRUE,FALSE,Schlesisches Tor,U1,14,5.86,730,156,886,15.1,FALSE,2,957,2024,5
R000045,4/12/2021,Gesundbrunnen,Mitte,medium,52.54902,13.38196,1_room,1,31.8,0,4,altbau_pre_1949,H,vorderhaus,saniert,FALSE,TRUE,FALSE,Bundesplatz,S Ringbahn,111,3.65,294,84,378,9.23,FALSE,3,408,2021,4
R000046,4/30/2023,Lichtenberg (Ort),Lichtenberg,medium,52.50616,13.49901,3_room,3,81.2,4,4,post_war_1949_1990,C,hinterhaus,renoviert,TRUE,FALSE,FALSE,Beusselstraße,S Ringbahn,137,8.29,757,355,1112,9.33,TRUE,2,1201,2023,4
R000047,5/10/2023,Gropiusstadt,Neukölln,low,52.41952,13.46455,2_room,2,58.4,3,6,altbau_pre_1949,H,seitenflügel,kernsaniert,FALSE,TRUE,FALSE,Lipschitzallee,U7,5,12.26,541,268,808,9.26,FALSE,3,873,2023,5
R000048,6/4/2022,Schmöckwitz,Treptow-Köpenick,medium,52.38123,13.66525,1_room,1,44.6,2,8,post_war_1949_1990,D,hinterhaus,modernisiert,TRUE,TRUE,FALSE,Kottbusser Tor,U1,253,24.6,377,112,489,8.45,FALSE,1,528,2022,6
R000049,10/18/2024,Charlottenburg,Charlottenburg-Wilmersdorf,high,52.51773,13.30426,3_room,3,96.3,4,4,modern_1990_2010,G,vorderhaus,modernisiert,FALSE,FALSE,TRUE,Spittelmarkt,U2,82,4.97,1871,344,2215,19.44,TRUE,2,2392,2024,10
R000050,8/16/2025,Köpenick (Ort),Treptow-Köpenick,medium,52.44322,13.56791,2_room,2,53.2,2,4,post_war_1949_1990,F,vorderhaus,saniert,FALSE,TRUE,FALSE,Kottbusser Tor,U1,147,15.23,634,171,805,11.92,FALSE,3,869,2025,8
R000051,2/9/2022,Tiergarten,Mitte,high,52.51048,13.34626,3_room,3,92.9,4,4,new_post_2010,A,hinterhaus,saniert,TRUE,TRUE,FALSE,Brandenburger Tor S,S1,23,2.22,2012,336,2348,21.66,TRUE,3,2536,2022,2
R000052,2/15/2020,Hellersdorf,Marzahn-Hellersdorf,low,52.53658,13.60906,2_room,2,55.6,1,4,modern_1990_2010,E,vorderhaus,kernsaniert,TRUE,FALSE,FALSE,Sundgauer Straße,S1,299,15.81,252,204,456,4.54,FALSE,2,493,2020,2
R000053,7/3/2022,Französisch Buchholz,Pankow,medium,52.60007,13.42935,2_room,2,60.1,2,3,altbau_pre_1949,F,seitenflügel,kernsaniert,FALSE,TRUE,FALSE,Schönhauser Allee,S Ringbahn,71,9.95,589,225,814,9.8,TRUE,3,879,2022,7
R000054,7/21/2020,Friedenau,Tempelhof-Schöneberg,high,52.47339,13.31947,5_room_plus,5,151.6,2,6,post_war_1949_1990,G,vorderhaus,saniert,TRUE,FALSE,FALSE,Friedenau S,S1,5,6.19,1651,583,2234,10.89,FALSE,3,2413,2020,7
R000055,2/23/2023,Siemensstadt,Spandau,low,52.53049,13.25863,1_room,1,35.5,2,4,altbau_pre_1949,H,vorderhaus,renovierungsbedürftig,FALSE,FALSE,TRUE,Bundesplatz,S Ringbahn,107,8.21,329,143,473,9.26,FALSE,1,510,2023,2
R000056,3/23/2024,Neukölln (Ort),Neukölln,medium,52.48118,13.44999,3_room,3,90.5,6,6,modern_1990_2010,B,vorderhaus,renovierungsbedürftig,TRUE,TRUE,FALSE,Warschauer Straße,U1,38,6.26,1689,264,1952,18.65,TRUE,3,2109,2024,3
R000057,9/13/2025,Schmöckwitz,Treptow-Köpenick,medium,52.37403,13.66222,2_room,2,55.5,5,5,altbau_pre_1949,F,hinterhaus,renovierungsbedürftig,TRUE,FALSE,FALSE,Möckernbrücke,U1,273,24.94,553,200,753,9.97,TRUE,3,813,2025,9
R000058,1/4/2023,Kladow,Spandau,medium,52.45998,13.13303,3_room,3,75.6,2,3,post_war_1949_1990,E,vorderhaus,modernisiert,FALSE,TRUE,FALSE,Wannsee,S1,52,17.71,736,269,1005,9.74,FALSE,2,1085,2023,1
R000059,4/18/2022,Friedrichshain,Friedrichshain-Kreuzberg,high,52.51013,13.45963,1_room,1,28.3,0,5,altbau_pre_1949,F,vorderhaus,renovierungsbedürftig,TRUE,TRUE,TRUE,Franz-Neumann-Platz,U8,97,5.59,688,92,779,24.33,TRUE,3,842,2022,4
R000060,7/29/2021,Kaulsdorf,Marzahn-Hellersdorf,low,52.50553,13.59541,2_room,2,66.8,2,4,post_war_1949_1990,D,hinterhaus,saniert,FALSE,TRUE,FALSE,Mendelssohn-Bartholdy,U2,182,14.78,368,237,605,5.5,FALSE,3,653,2021,7
R000061,2/23/2021,Wartenberg,Lichtenberg,low,52.5896,13.49874,1_room,1,32.8,0,5,post_war_1949_1990,F,vorderhaus,saniert,TRUE,TRUE,FALSE,Lipschitzallee,U7,215,11.55,164,115,279,5,TRUE,1,301,2021,2
R000062,7/1/2021,Falkenhagener Feld,Spandau,low,52.55224,13.17044,4_room,4,67.2,2,5,new_post_2010,C,hinterhaus,modernisiert,TRUE,TRUE,TRUE,Friedenau S,S1,163,14.58,437,195,632,6.51,TRUE,3,682,2021,7
R000063,4/16/2024,Alt-Treptow,Treptow-Köpenick,medium,52.49255,13.4429,2_room,2,49.5,4,5,new_post_2010,B,vorderhaus,renoviert,TRUE,TRUE,FALSE,Kottbusser Tor U8,U8,28,5.14,798,196,994,16.14,FALSE,3,1074,2024,4
R000064,12/3/2024,Gesundbrunnen,Mitte,medium,52.54267,13.39473,4_room,4,110.4,0,4,post_war_1949_1990,D,hinterhaus,kernsaniert,TRUE,FALSE,FALSE,Kottbusser Tor U8,U8,72,3.15,1489,281,1770,13.48,FALSE,3,1912,2024,12
R000065,12/10/2021,Lübars,Reinickendorf,medium,52.61051,13.36538,4_room,4,144.3,3,5,post_war_1949_1990,E,vorderhaus,renovierungsbedürftig,TRUE,TRUE,TRUE,Wittenau U,U8,37,10.51,1039,575,1614,7.21,FALSE,2,1743,2021,12
R000066,3/25/2021,Mitte (Ort),Mitte,high,52.51596,13.41568,3_room,3,75.8,1,4,post_war_1949_1990,C,vorderhaus,renoviert,TRUE,FALSE,FALSE,Kurfürstenstraße,U1,45,2.57,1438,216,1654,18.98,FALSE,3,1786,2021,3
R000067,11/7/2022,Frohnau,Reinickendorf,medium,52.62892,13.2808,4_room,4,140.3,2,3,post_war_1949_1990,D,vorderhaus,saniert,FALSE,FALSE,FALSE,Kottbusser Tor U8,U8,207,14.13,1266,475,1741,9.02,TRUE,3,1880,2022,11
R000068,1/10/2026,Tegel,Reinickendorf,medium,52.58605,13.30215,3_room,3,95,3,5,altbau_pre_1949,F,hinterhaus,kernsaniert,FALSE,TRUE,FALSE,Friedrichstraße,Stadtbahn,116,9.29,1231,258,1489,12.96,FALSE,2,1608,2026,1
R000069,4/23/2024,Lichterfelde,Steglitz-Zehlendorf,medium,52.43028,13.30704,3_room,3,66.2,3,4,post_war_1949_1990,D,hinterhaus,renoviert,FALSE,TRUE,FALSE,Rohrdamm,U7,152,10.7,1058,167,1224,15.99,FALSE,3,1322,2024,4
R000070,6/25/2024,Malchow,Lichtenberg,low,52.57717,13.47616,1_room,1,30.3,5,5,modern_1990_2010,D,vorderhaus,kernsaniert,TRUE,TRUE,FALSE,Bismarckstraße,U7,164,9.49,268,113,381,8.86,FALSE,2,412,2024,6
R000071,3/13/2024,Lichtenrade,Tempelhof-Schöneberg,low,52.40106,13.40115,3_room,3,85,1,4,altbau_pre_1949,G,vorderhaus,modernisiert,FALSE,TRUE,TRUE,Parchimer Allee,U7,81,12.91,810,217,1027,9.53,FALSE,3,1109,2024,3
R000072,2/25/2025,Rummelsburg,Lichtenberg,medium,52.50626,13.48839,2_room,2,50.6,0,5,altbau_pre_1949,G,vorderhaus,modernisiert,TRUE,FALSE,FALSE,Brandenburger Tor S,S1,93,7.57,569,155,724,11.23,TRUE,3,782,2025,2
R000073,8/14/2021,Steglitz,Steglitz-Zehlendorf,medium,52.45421,13.33339,3_room,3,103,3,4,post_war_1949_1990,C,gartenhaus,kernsaniert,TRUE,TRUE,FALSE,Halensee S,S Ringbahn,63,7.53,1274,292,1566,12.37,FALSE,3,1691,2021,8
R000074,5/20/2025,Charlottenburg-Nord,Charlottenburg-Wilmersdorf,medium,52.53612,13.28905,3_room,3,87.7,3,5,post_war_1949_1990,F,hinterhaus,kernsaniert,TRUE,TRUE,TRUE,Jungfernheide S,S Ringbahn,4,6.39,1489,301,1790,16.98,TRUE,1,1933,2025,5
R000075,5/18/2021,Marienfelde,Tempelhof-Schöneberg,low,52.41181,13.37716,3_room,3,98.1,1,4,altbau_pre_1949,F,hinterhaus,kernsaniert,FALSE,FALSE,FALSE,Rohrdamm,U7,196,11.62,810,313,1123,8.26,FALSE,3,1213,2021,5
R000076,1/19/2026,Niederschönhausen,Pankow,medium,52.58489,13.41063,4_room,4,51.6,2,5,post_war_1949_1990,H,vorderhaus,kernsaniert,TRUE,TRUE,TRUE,Westhafen,S Ringbahn,75,7.95,485,144,629,9.4,FALSE,2,680,2026,1
R000077,12/16/2024,Konradshöhe,Reinickendorf,medium,52.60269,13.22858,3_room,3,103.2,0,5,altbau_pre_1949,G,vorderhaus,renoviert,TRUE,FALSE,TRUE,Kleistpark,U7,191,13.92,1242,350,1592,12.03,TRUE,3,1719,2024,12
R000078,8/5/2022,Französisch Buchholz,Pankow,medium,52.60119,13.4096,1_room,1,40.9,1,5,altbau_pre_1949,G,vorderhaus,kernsaniert,FALSE,FALSE,TRUE,Rathaus Reinickendorf,U8,86,9.68,410,186,596,10.01,FALSE,2,643,2022,8
R000079,5/22/2023,Lichterfelde,Steglitz-Zehlendorf,medium,52.4177,13.29358,1_room,1,20,1,3,post_war_1949_1990,D,vorderhaus,renovierungsbedürftig,FALSE,TRUE,FALSE,Richard-Wagner-Platz,U7,123,12.36,330,88,418,16.52,FALSE,2,451,2023,5
R000080,9/21/2023,Lichterfelde,Steglitz-Zehlendorf,medium,52.42928,13.30652,2_room,2,62.1,3,5,altbau_pre_1949,D,seitenflügel,modernisiert,FALSE,TRUE,FALSE,Lichterfelde West,S1,21,10.81,1161,270,1431,18.69,FALSE,2,1545,2023,9
R000081,11/16/2021,Marzahn,Marzahn-Hellersdorf,low,52.53647,13.56041,4_room,4,131.9,5,6,post_war_1949_1990,E,vorderhaus,modernisiert,TRUE,TRUE,TRUE,Tiergarten S,Stadtbahn,173,12.56,649,413,1061,4.92,TRUE,3,1146,2021,11
R000082,7/19/2020,Friedrichshagen,Treptow-Köpenick,medium,52.45433,13.63132,2_room,2,38.7,1,5,post_war_1949_1990,E,vorderhaus,modernisiert,FALSE,FALSE,TRUE,Schlesisches Tor,U1,164,18.5,307,125,433,7.94,FALSE,3,467,2020,7
R000083,8/2/2021,Niederschönhausen,Pankow,medium,52.5783,13.39788,2_room,2,58.4,2,5,post_war_1949_1990,D,vorderhaus,modernisiert,TRUE,TRUE,FALSE,Bernauer Straße,U8,53,7.03,582,174,756,9.97,FALSE,2,816,2021,8
R000084,7/17/2021,Reinickendorf (Ort),Reinickendorf,low,52.56418,13.34599,5_room_plus,5,145.8,1,3,post_war_1949_1990,C,vorderhaus,modernisiert,FALSE,TRUE,FALSE,Karl-Bonhoeffer-Nervenklinik,U8,28,5.74,1246,437,1683,8.55,FALSE,3,1818,2021,7
R000085,8/27/2024,Borsigwalde,Reinickendorf,low,52.60076,13.28887,2_room,2,56,6,6,new_post_2010,A_plus,seitenflügel,kernsaniert,TRUE,TRUE,FALSE,Rathaus Reinickendorf,U8,30,11.15,718,143,862,12.82,FALSE,1,930,2024,8
R000086,12/16/2022,Mitte (Ort),Mitte,high,52.52019,13.41546,1_room,1,38.8,6,6,modern_1990_2010,D,gartenhaus,modernisiert,FALSE,FALSE,FALSE,Nollendorfplatz,U1,51,2.59,683,180,863,17.63,FALSE,3,932,2022,12
R000087,7/30/2020,Hohenschönhausen,Lichtenberg,low,52.56186,13.50151,3_room,3,96.6,4,4,new_post_2010,D,seitenflügel,saniert,TRUE,TRUE,FALSE,Westhafen,S Ringbahn,137,9.79,857,297,1153,8.87,FALSE,3,1246,2020,7
R000088,8/25/2021,Lichtenberg (Ort),Lichtenberg,medium,52.51581,13.49933,3_room,3,81.9,3,5,post_war_1949_1990,B,seitenflügel,saniert,FALSE,TRUE,FALSE,Kottbusser Tor U8,U8,68,8.23,803,242,1045,9.81,TRUE,3,1129,2021,8
R000089,8/18/2023,Kladow,Spandau,medium,52.44868,13.13781,3_room,3,107.1,3,8,altbau_pre_1949,F,hinterhaus,modernisiert,FALSE,TRUE,FALSE,Mexikoplatz,S1,73,17.9,959,395,1354,8.96,TRUE,3,1463,2023,8
R000090,7/30/2021,Märkisches Viertel,Reinickendorf,low,52.60204,13.34244,4_room,4,122.4,3,6,post_war_1949_1990,E,vorderhaus,modernisiert,TRUE,FALSE,FALSE,Franz-Neumann-Platz,U8,59,9.83,1127,337,1464,9.21,FALSE,2,1581,2021,7
R000091,3/2/2023,Friedrichshain,Friedrichshain-Kreuzberg,high,52.52376,13.4582,3_room,3,106.2,4,4,new_post_2010,D,hinterhaus,saniert,FALSE,FALSE,FALSE,Pankstraße,U8,69,5.51,2445,505,2949,23.01,FALSE,3,3185,2023,3
R000092,9/29/2022,Kreuzberg,Friedrichshain-Kreuzberg,high,52.49378,13.41365,2_room,2,57.7,4,5,altbau_pre_1949,D,vorderhaus,saniert,FALSE,FALSE,FALSE,Spittelmarkt,U2,17,3.49,1263,265,1527,21.87,FALSE,3,1650,2022,9
R000093,6/20/2023,Mahlsdorf,Marzahn-Hellersdorf,low,52.5014,13.62455,3_room,3,96,3,4,post_war_1949_1990,G,vorderhaus,renoviert,FALSE,FALSE,FALSE,Berlin Hauptbahnhof,Stadtbahn,208,16.79,451,357,808,4.7,TRUE,2,873,2023,6
R000094,10/12/2022,Hermsdorf,Reinickendorf,medium,52.61409,13.29715,1_room,1,28,1,3,modern_1990_2010,C,vorderhaus,modernisiert,TRUE,FALSE,TRUE,Bülowstraße,U2,161,12.16,328,151,479,11.72,FALSE,3,517,2022,10
R000095,7/6/2022,Treptow,Treptow-Köpenick,medium,52.48487,13.45575,5_room_plus,5,208.1,4,4,post_war_1949_1990,H,vorderhaus,saniert,TRUE,TRUE,FALSE,Warschauer Straße,U1,28,6.33,1476,907,2383,7.09,FALSE,3,2573,2022,7
R000096,9/2/2024,Buch,Pankow,low,52.64041,13.50579,3_room,3,124.5,1,3,altbau_pre_1949,H,vorderhaus,modernisiert,FALSE,FALSE,FALSE,Uhlandstraße,U1,227,16.29,1029,323,1353,8.27,TRUE,2,1461,2024,9
